batch,value
1,715.582
2,684.49
2,611.999
1,757.363
2,715.962
2,651.304
2,555.724
1,444.963
1,688.887
1,716.959
1,518.655
2,657.157
1,657.712
2,555.724
2,625.925
1,683.752
1,677.933
2,686.023
1,709.631
1,769.391
1,667.786
1,759.729
2,534.236
1,751.832
2,575.143
2,652.535
2,621.751
2,606.667
1,741.48
1,708.229
2,617.441
2,583.034
2,615.903
1,608.781
1,655.029
2,633.417
2,563.872
2,637.233
2,574.522
2,647.323
1,643.392
1,775
2,607.766
2,543.299
1,695.688
2,696.707
1,537.161
2,604.255
2,632.447
2,579.167
2,569.207
2,636.738
2,619.06
2,571.906
2,821.654
1,707.899
2,584.861
2,600.427
1,756.82
1,579.167
2,624.234
1,696.046
2,698.237
2,455.878
